동영상제목,조회수,좋아요수,게시일,댓글내용,댓글작성자,댓글좋아요수,댓글작성일
,,,,"뭐배우고 나면 뭐또나오고 뭐배우고 나면 또나오고 돌겠네ㅋㅋㅋㅋㅋ
옵시디언은 좋아요 내머리는 나빠요ㅠㅠ",@sordthree,9,2023-10-01T08:18:50Z
,,,,옵시디언 완전 좋아요. 이 채널에서 다뤄질 줄 몰랐어요. 기대가 되네요. 저는 처음에 배우기 어렵고 플러그인도 많아 보여서 복잡했었는데요. 생산성 빌리언 시안 채널에서 빠르게 배웠었습니다. 그 후에 작가의 방 채널에서 여러 고급 플러그인들  필요한거 하나씩 배웠었고요. 노마드 코더에서 코딩 관련된 플러그인 다뤄주셨으면 좋을 것 같네요.,@굴랑굴랑,595,2023-09-10T11:46:18Z
,,,,"마크다운, 역링크 같은 기능을 보니 나만의 위키백과, 나무위키 만들기네요 ㅋㅋㅋ",@누리누리-r9j,29,2023-09-10T23:44:03Z
,,,,"근 1년정도 쓰고 있는데 노션과 비교해서 기능이 가볍고 메모에 좀 더 좋아요
icloud로 동기화하면 여기저기서 바로 갖다 쓸 수 있어서 노트앱으로 정말 잘 쓰고 있어요",@lua_artificial,16,2023-09-10T13:23:02Z
20년 넘게 번아웃 없는 개발자의 취미,25284,631,2023-09-03T11:30:14Z,"📌 1:1 개인 맞춤 상담 받고. 코딩 무료로 시작하기
https://nomad-coders.channel.io/support-bots/38708
-
📌 니꼬쌤과 코딩 시작하기 (*무료*)
https://nomadcoders.co/courses#free?utm_source=youtube&utm_medium=yt_long&utm_campaign=courses&utm_content=regular_sales&utm_term=new_students_230903",@nomadcoders,6,2023-09-03T11:34:08Z
,,,,"운동이 좋은게 
몸이 힘들면 생각이 단순화 됨 

스트레스의 가장 큰 원인은 생각이 많아진다는 것 
결국 운동을 통해서 불필요한 생각은 날리면 

내가 딱 필요한 생각만 남게 됨 
그래서 운동을 해야함 

내 기준임😅",@돔황차-z9w,16,2023-09-03T11:45:43Z
,,,,니코쌤은 번아웃이 없는줄 알았음!!!,@cutiecute0000,18,2023-09-03T11:34:45Z
,,,,한국 암장에서 개발자 찾는 것은 매우 쉬워요 정말....ㅋㅋㅋㅋ,@임종수-u1t,14,2023-09-03T11:48:59Z
,,,,늦은나이에 이쪽계열로 공부하고있는 학생입니다. 이분 영상은 단순히 개발자에게 도움되는 영상이 아닌 인생을 알려주는 유튜버였네요,@serendipity9688,2,2023-09-24T00:20:12Z
,,,,"안녕하세요 니콜라스님 ! 저번 토요일날 지하도 지나가면서 인사드린 구독자입니다 ! 멀리서 너무 낯이 익은 외국인분이 걸어오시길래 누구지 누구지하면서 쳐다보다 속으로 니콜라스님 !! 잘생겼다 .. 하고 놀라기만 하고 인사 못 건넸는데 먼저 인사해주셔서 너무 감사해요 ㅠㅠ 너무 벙쪄서 손만 흔들었었는데 죄성합니다 ㅠㅠ 그리고 너무 반가워써용 ㅎㅎ 또 마침 친구랑 클라이밍 한 번 해보고싶다 얘기 하고 있었는데 타이밍이 되게 신기하네요 ㅎㅎ 나중에 뵈면 먼저 인사드릴게요 ! 😊

+ 니콜라스님 안녕하세요~ 너무 찰져요 다시 듣고싶습니다 ㅎㅎ",@kim-outmogae,4,2023-09-03T12:59:12Z
,,,,용기는 두려움을 느끼지 않는것이 아니라 두려워도 하는것 이라는데 그런의미에서 니꼬쌤은 클라이밍을 통해 엄청나게 용감해지신겁니다!!! 좋은영상 감사해용😊,@choiwolja,5,2023-09-04T15:03:11Z
,,,,"정말 공감되고 좋은 내용입니다.
저도 이번에 일을 쉬면서 반년 가까이 개발 관련된 일을 하지 않고 하고  싶은 것만(요가, 클라이밍, 실내서핑 등..) 했습니다.
이제 곧 다시 일을 시작할 예정이고 다시 달릴 수 있는 힘을 얻은 것 같습니다. :)
계속해서 꾸준히 하는 것도 중요하지만 지칠 때는 한번씩 그것을 내려놓고 다른 것에 집중하거나 휴식을 취해주는 부분이 번아웃을 막는 좋은 방법 같습니다.",@COSEO-hr9es,14,2023-09-03T11:52:55Z
,,,,클라이밍 하는 개발자들 진짜 많은 것 같아요 ㅋㅋㅋㅋㅋㅋ 저도 포함....,@alik5883,4,2023-09-03T12:25:46Z
,,,,"프로그래머는 아니지만, 영상에 공감해서 댓글 답니다.
클라이밍 정말 좋은 운동이에요.
한국에서도 최근 볼더링 암장이 늘어나고 있고, 인기도 많아져 동호회도 늘어나고 있어요.
좋은 점은 이미 니코쌤이 모두 설명해서 굳이 말할 건 없을 것 같고,
니코쌤처럼 저도 제 인생이 바뀐 운동이어서 모두에게 추천해주고 싶네요.
다만, 피부 타박상을 입기 쉬우니 긴 소매 옷을 입고 운동하는걸 추천해요.",@errun3119,8,2023-09-03T11:47:17Z
ChatGPT 를 200% 활용하는 방법! feat. 프롬프트 엔지니어링,65474,3252,2023-08-27T11:35:45Z,"📌 1:1 개인 맞춤 상담 받고. 코딩 무료로 시작하기
https://nomad-coders.channel.io/support-bots/38708
-
📌 니꼬쌤과 코딩 시작하기 (*무료*)
https://nomadcoders.co/courses#free?utm_source=youtube&utm_medium=yt_long&utm_campaign=courses&utm_content=regular_sales&utm_term=new_students_230827",@nomadcoders,16,2023-08-27T11:36:24Z
,,,,뒤집힌 상호작용을 통해 GPT로부터 질문에 답해야하는것은 처음봤네요 ㄷㄷ,@wuts,42,2023-08-27T11:47:20Z
,,,,"레시피 패턴은 자연스럽게 써왔는데 페르소나, 리플렉션, 뒤집힌상호작용 패턴도 앞으로 효과적으로 쓰겠습니다! 감사해요 니꼬쌤😀",@스바-t1o,17,2023-08-27T11:48:42Z
,,,,"요거.. 사전에 AI에게 당부하고 싶은 것들은 custom instructions에서 지정해서 하시면 됩니다
내는 누구인지
ai가 어떻게 답변했으면 하는건지 . 를 지정하고 질의가 가능함(채팅에서 시작시 입력 안해도 됨)",@Square2017,3,2023-08-28T00:32:31Z
,,,,"저는 항상
1. 문제 해결 법 묻기
2. 해결 방법 받기
3. 2의 해결 방법을 1의 문제에 적용시켰을 때 예상되는 결과 묻기
4. 3의 과정을 단축하거나 개선할 사항이 있는지 묻기
5. 4의 답변을 실행시켰을 때 정확한지 아닌지 전달 및 개선 요구
이렇게 한 다섯번은 씨름해야 했는데,
1~3의 두루뭉술한 질문이 문제였던 것 같네요-!!
적절한 패턴으로 질문 및 상호작용 단계를 크게 단축시킬 수 있을 것 같습니다 좋은 영상 감사합니다!!",@서보선,1,2023-08-30T01:32:53Z
,,,,"와.. 오늘 삽질만 하다가 진전 하나도 안 되고 ChatGPT 답변도 시원치 않아서 머리 터지는 줄 알았는데 이거 보고 할 걸...
내일 뒤집힌 상호작용.. 적용해서 다시 질문해야봐야겠네요..",@Secaga,1,2023-08-28T15:03:12Z
,,,,"와 이건 개발자라면 꼭 알아야하고 봐야하는 영상! GPT 활용, 질문하면서 어떻게 효율적으로 잘 질문할까? 늘 고민이었는데 좋은 영상 입니다! Thanks a loooooot",@JayJoowon,4,2023-08-28T03:14:35Z
,,,,"제가 현재 프로젝트로 프르소나 패턴을 이용하고 있었던거네요 이런식으로 풀어서 설명해주시니까 활용도가 더더욱 생각이나네요.
그리고 Flipped Interaction Pattern은 진짜 충격이네요.. 이거랑 다른 패턴들도 적절히 사용해서 만능으로 거듭나봐야겠어요 ㅎㅎ 이걸로 플러터 파이썬 조합으로 앱도 만들어봐야겟어요",@sapruri,3,2023-09-11T16:46:43Z
,,,,진짜 돈받고 팔아도 될 정도의 꿀팁..🍯,@lIIllIllIIIll,3,2023-08-27T13:03:43Z
,,,,와 감사합니다,@아이니아,3,2023-08-28T12:24:34Z
천재들이 어려운 개념을 빠르게 배우는 학습법,444293,20233,2023-08-20T11:45:03Z,"📌 1:1 개인 맞춤 상담 받고. 코딩 무료로 시작하기
https://nomad-coders.channel.io/lounge
-
📌 니꼬쌤과 코딩 시작하기 (*무료*)
https://nomadcoders.co/courses#free?utm_source=youtube&utm_medium=yt_long&utm_campaign=courses&utm_content=regular_sales&utm_term=new_students_230820",@nomadcoders,47,2023-08-20T12:02:21Z
,,,,"실제로 스스로에게 되묻는 학습법으로 공부한 사람은 근본적인 원리를 파악하며 몇년이 지나도 그 개념을 잊지않습니다. 단점은 계속 파고들다보면 시간이 매우 오래걸린다는것.... 따라서 시험이라는걸 준비하는 입장에서는 효율이 떨어지는 방법일수도있습니다. 그러나, 시험에 연연하지 않고 본질적인 실력을 기르기 위해서는 이 학습법이 정답입니다. 사실 학자들은 시험을 잘보는사람이 아니라 본질적인 실력을 갖춘 사람들이죠",@mathnewbie,39,2023-09-21T15:04:56Z
,,,,복잡하고 어려운 것을 복잡하고 어려운 그대로 설명하는 것은 '쉬운일' 이나   이를 '쉽고 이해하기 좋게'  설명하고 전달하는 것은 그또한 기술이고 예술인거 같습니다.   좋은 영상 감사합니다.,@samcoding1574,231,2023-08-20T12:42:54Z
,,,,"1. 배우고 싶은것 정하기
2. 최대한 쉽게 설명하기
3. 잘 모르는 부분, 지식 빈틈 골라내기
4. 추가 조사
-> 2, 3, 4단계 반복",@뫼르소,565,2023-08-24T12:03:50Z
,,,,"파인만 기법 : 남에게 설명할 수 있어야 내가 이해한 것이다.

step1. 주제에 대해 조사한다.
배우고 싶은 주제나 개념을 골라 그에 대한 조사를 하거나, 동영상을 보거나, 설명서를 읽거나, 책의 몇 챕터를 읽는 등의 활동을 한다.

step2. 최대한 쉽게 설명을 적어본다.
해당 개념에 대한 설명을 적되, 집중력이 짧고 어휘력이 적은 어린아이, 즉 나보다 어린 사람에게 개념을 설명해본다.
그 이유는 일반적으로 개념을 이해한다고 생각하지만 실제로는 사물의 이름만 기억하고 이해하지도 못하는 어려운 단어를 사용하기 때문이다.

step3. 지식의 빈틈을 골라낸다.
잘 모르는 부분, 지식의 빈틈을 골라낸다. 개념 설명을 마친 후에는 전문 용어에 의존하거나, 지나치게 복잡한 단어를 사용한 부분을 찾아보자.
아이가 그 단어를 이해하지 못한다면, 개념을 설명하기보다는 읽은 내용을 반복하고 있다는 의미일 수 있다.
아이처럼 ""이건 왜 그래?""라는 질문을 많이 하면 할 수록 지식의 빈틈이 많이 드러나고 더 깊이 이해할 수 있게 된다.
어떻게 작동하는지 알고, 설명할 수 있을지는 모르지만, ""왜""작동하는지 또는 ""무엇이""작동하게 만드는지 알아야 한다.

step4. 추가조사하기
위에서 막힌 부분들을 추가조사하고, 설명을 단순화하고, 복잡한 용어를 이해하기 쉬운 비유로 바꾸어서 설명하자.
그리고 나서 다시 step2.로 돌아간다.",@최현석-l1v,64,2023-09-16T14:50:33Z
,,,,"물리학을 전공하니 파인만이 말하는 열심히 공부한 평범한 사람이 과학자가 된다는 말을 공감할 수 있게 됩니다. 학부 수준을 넘어서 대학원에 가서도 항상 새로운 개념을 받아들이게 되는데 이 개념을 받아들이는 데 있어 가장 중요한 건 익숙해지는 시간이었습니다. 성적을 잘 받아 머리가 좋구나 생각했던 친구들을 모두 그만큼 오랫동안 열심히 공부를 한 친구들이었죠. 재능이 있느냐 없느냐의 문제가 아닌 것 같다 느꼈습니다. 해당 파인만 영상을 고등학교 2학년 적 처음 접한 것 같은데 수 년이 지난 지금 다시 보니 파인만씨의 생각이 더 근본적이고 강한 힘을 가지고 있다고 느껴집니다. 
공부에 더 매진하지 않은 내 자신이 부끄러워지는 파인만씨의 열정입니다. 개념을 세밀하게 이해하지 않고 어려운 단어에 그 의미가 담겨있다 치부했던 것 같아 반성하게 됩니다. 
좋은 영상과 좋은 설명 감사합니다 노마드 코더님.",@한재연-f9y,85,2023-08-22T03:12:46Z
,,,,"제 멘토께서 항상 당부하셨던 조언이 파인만 기법이었군요
항상 ""어린아이에게 설명해도 이해시킬 수 있는 수준이 되어야 비로소 이해한 것이다""라곤 하셨는데 ㅋㅋ",@어쩔수없는박춘식,3,2023-12-11T09:30:04Z
,,,,"교수님이 랩미팅이나 랩세미나 때 동기들이나 저에게 항상 하던 이야기가 이거였어요. 자기 혼자 아는 썰 풀려고 자기랑 연구실 사람들이 시간을 내서 모이는 아니라는 말을 달고 사셨거든요. 그리고 항상 마지막에 자기 걸로 소화 못 했기 때문에 고상한 말이나 쓰고 앉아있는 거라고 지적했죠. 생각해보면 참 성질 더럽고 인성도 그리 좋다고 평하실 분이 못 됐는데, 이상하게 학부나 대학원에서 강의평이 좋았습니다. 심지어 연구실 과제를 학부 과제로 내주시던 분인데...",@hortmadeline6524,31,2023-08-26T12:03:39Z
,,,,저게 진짜 길인데. 문제는 한국식 교육에서 저게 가능하냐. 성적에 대한 압박이 있어서. 저렇게 학습하면 너무 오래 걸리고 진도도 안나가고 질문에 대해 다 찾아봐야함. 물리나 수학에 관심도 없고 흥미도 없이 어려운 용어들 다 찾아본다? 고역임. 어려운 용어 설명 찾으면 또 어려운 용어들이 차례로 나옴. 여기서 대개 다 포기하게 됨. 이러면 학습시간이 길어지고. 사람 본능이 놀고 싶은데 결국 호기심이 강한 학생들이 공부잘하게 되어있음.,@형석김-d1f,7,2023-09-01T21:37:00Z
,,,,"아 이보다 더 적확할 수 없네요. 중고등학생 때 전교에서 1,2등하던 친구들과 같은 반이 되었고 같이 등하교를 했었습니다. 같이 학교를 가면서 매번 시험기간마다 예상문제를 만들어 서로에게 질문하고 설명했는데 그 친구가 다른 사람한테 설명하면서 내가 더 확실히 알게되는게 너무 좋아 라고했었고 저도 동의했습니다. 암기보다 타인에게 구어체로 하는 설명이 더 확실히 이해되었거든요. 파인만 공부법이였군요 그게. 감사합니다 니코는 정말 뛰어난 선생님이에요 항상 감사합니다",@hq7lv,17,2023-08-22T13:54:20Z
키보드 소리로 비밀번호 훔치기··· 정확도 95%!?,14264,417,2023-08-13T11:15:04Z,"📌 1:1 개인 맞춤 상담 받고. 코딩 무료로 시작하기
https://nomad-coders.channel.io/lounge
-
📌 니꼬쌤과 코딩 시작하기 (*무료*)
https://nomadcoders.co/courses#free?utm_source=youtube&utm_medium=yt_long&utm_campaign=courses&utm_content=regular_sales&utm_term=new_students_230804",@nomadcoders,1,2023-08-13T11:41:34Z
,,,,"3:54 애초에 줌 대화소리와 키보드 입력소리가 분리가 가능한 시점에서 이질적인 음악, 백색소음을 섞는 것은 효과가 제한될수 밖에 없음. 결국 키 입력 소리 안에서 노이즈를 섞어야 유효한 방어가 되는데 그 예시로 대소문자 병행사용, 가짜 키 입력 소리 재생을 드는 것으로 보임",@danielchoi2259,9,2023-08-13T11:33:53Z
,,,,"아니 이렇게 타이핑 소리만으로 비밀번호를 뚫는다는게 신기하기도 하고 어이가 없기도 하네요. ㄷㄷㄷㄷ
이제는 하다하다 키보드 타이핑 소리도 조심해야한다니...... ㅠㅠ",@nuclearbad1788,10,2023-08-13T11:23:48Z
,,,,"이거 울프콜 이란 영화에도 나왔던건데 이렇게 보니 반갑네요
앞으로 보안쪽이 더 위험해지겠어요",@야행성인간,5,2023-08-13T11:18:23Z
,,,,영화에서 키보드 소리만 듣고 비밀번호 알아내는게 가능한 일이었군요 ㄷㄷ,@uli9182,22,2023-08-13T11:18:34Z
,,,,형님 머릿결이 좋군요!❤,@hotdogchickens,1,2023-08-13T11:43:00Z
,,,,"개인적인 생각으로는 몇몇 인터넷 방송 하는 사람들이 이 수법의 타겟이 되기 쉬울거라 생각하네요.
사람들 다 보는 앞에서 타이핑 하는 경우가 있으니...",@HybridMemeLab,9,2023-08-13T16:26:51Z
,,,,와우 진짜 놀라운 일인데요오😮,@이재현-x7e4q,1,2023-08-13T11:15:39Z
,,,,이젠 비번칠때는 마이크 자동 음소거 되는 기능이 필요 해질지도..,@stholo7151,10,2023-08-13T11:19:22Z
,,,,"Hackers are now much more powerful because they can also use AI to exploit the vulnerabilities of humans, one of the scariest things in this world.",@Gmarkooo,4,2023-08-13T13:34:49Z
당신이 이 디자인 패턴을 배워야하는 이유?! 😱,25003,768,2023-08-06T11:30:19Z,"📌 1:1 개인 맞춤 상담 받고. 코딩 무료로 시작하기
https://nomad-coders.channel.io/lounge
-
📌 니꼬쌤과 코딩 시작하기 (*무료*)
https://nomadcoders.co/courses#free?utm_source=youtube&utm_medium=yt_long&utm_campaign=courses&utm_content=regular_sales&utm_term=new_students_230804",@nomadcoders,3,2023-08-06T11:41:26Z
,,,,디자인 패턴 하나씩 쭉 업로드해주세요!!! 요즘 디자인패턴 공부중인데 너무너무 도움이 많이 됩니다😊😊😊,@woo-hey,39,2023-08-06T11:59:24Z
,,,,구체적인 코드까지 보여줘서 더 좋았어요~,@박찬규-x5i,3,2023-08-06T12:09:41Z
,,,,"개인적으로는 가장 구현하기 쉽지만 제일 쓰기 애매했던 패턴으로 기억합니다.
웹에서는 정말 유용하게 쓸것 같은데, 저는 단방향 및 순차적으로 진행되는 프로그램들을 주로 다루다보니 끼워넣기가 영 애매했습니다.
설명과 예시는 굿! 더 많은 개발자 및 예비개발자들이 좋은 정보를 접했으면 좋겠습니다!",@ajaeDev,5,2023-08-06T11:51:01Z
,,,,Please continue!!!,@hsabatino,1,2023-08-07T12:38:54Z
,,,,디자인 패턴 니꼬쌤 버전으로 정복할때까지!,@Makingfunk,1,2023-08-06T13:36:32Z
,,,,실제로 알림을 보내려면 파이어베이스 같은게 들어가야하겠죠? 디자인 패턴 하나씩 설명해주니까 부담스럽지도 않고 좋아요! 앞으로 디자인패턴 시리즈 계속 올려주세요!,@awesomesuperfuntalk,1,2023-08-07T04:20:12Z
,,,,정말 이해하기 쉬웠습니다.,@joong-hyuklee536,3,2023-08-06T11:48:17Z
,,,,I love the videos about the patterns,@Johagamer314,1,2023-08-06T23:55:54Z
,,,,디자인 패턴 + 자료구조 알고리즘 전부 다요 ^ㅅ^b,@소중한-u5o,2,2023-08-06T11:47:11Z
요즘 정말 핫한 🔥 디자인 패턴이 있다?,31420,935,2023-07-30T11:15:01Z,"개인적인 경험이지만
무의식적으로 쓰던 코딩 방식이 파사드 패턴하고 매우 유사하군요 
이 패턴은 이해가 쉽고, 쓰임새도 단순해서
조금만더 공부하고 정리해서 다듬으면 내것으로 만들기 좋을 것 같습니다

감사합니다.",@seongminpark3131,11,2023-07-30T13:56:30Z
,,,,디자인패턴은 머리속에는 꼭 담아놔야 다른사람걸 이해하기 쉬워서 너무 좋은 강의인 것 같아여,@newbie4151,19,2023-07-30T11:16:15Z
,,,,"디자인패턴 처음 조우했을 때, 어렵고 종류도 많아서 배우기 꺼려졌는데. 이상하게 저번 영상과 이번 영상은 쉽게 이해가 되고 어렵게 느껴지지 않아요! 다음 디자인 패턴도 기대됩니다 :)",@판도라7422,8,2023-07-30T11:43:34Z
,,,,"매번 좋은정보 감사해요, 😅디자인패턴 다음편도 보고싶어요ㅎㅎ",@darrenright2712,3,2023-07-30T15:38:24Z
,,,,파사드(facade) 삽입 영상 적절하고 멋있네요 b,@HongLab,1,2023-07-31T06:19:59Z
,,,,사실상 기존에 무의식적으로 쓰던 패턴이네요. 그 부분을 좀 더 체계화 할 수 있는 패턴 같습니다. 좋은 영상 감사합니다!,@대충라고말하는댓글,1,2023-10-10T14:19:13Z
,,,,오늘도 영상 잘 보고 갑니다 감사합니다!,@fish-door-21,2,2023-07-30T11:17:20Z
,,,,파사드 패턴에 대해 간단하게 정리 해주셔서 감사합니다. 다른 디자인 패턴도 기대해봅니다😊,@muldaenamu,0,2023-08-05T03:48:29Z
,,,,파사드 패턴 참 쉽네요 : ),@김영민-w2i4t,2,2023-07-30T11:21:31Z
,,,,"패턴을 아무리 실무에서 접해도 이름기억하기가 어려웠는데, 이렇게 쉬운예제로 알려주니까 넘 좋네요 ㅋㅋ facade단어의 원래 사용의미도 알려주시고 짱짱맨!",@knreipiel,2,2023-08-01T03:08:20Z
"개발자라면 ""무조건"" 디자인 패턴을 배워야한다?",54892,2432,2023-07-23T11:15:04Z,"📌 니꼬쌤과 코딩 시작하기 (*무료*)
https://bit.ly/44Tsmkd",@nomadcoders,8,2023-07-23T11:58:36Z
,,,,다양한 디자인 패턴을 예제랑 함께 묶어서 강의 만들면 바로 수강할 의향 있음..!,@소중한-u5o,170,2023-07-23T11:36:21Z
,,,,정처기 보기 전에 봤더라면 한문제를 더 맞췄을 수 있었을 유익한 영상...,@QuRareLugene,52,2023-07-23T11:16:30Z
,,,,중요한만큼 잘 배워야하는 토픽. 막 배웠다가 써먹는다고 더 복잡하게 만드는 경우 가끔 봄,@ililil-i1l,2,2023-07-24T02:28:48Z
,,,,Please make a serie about  Design Patterns,@chosen2production,4,2023-07-23T11:37:38Z
,,,,디자인 패턴 공부해보았지만 더 쉽게 와닿게 이야기 해주는 니코쌤 감사합니다,@김동원-f5q,15,2023-07-23T11:20:56Z
,,,,"객체지향에 관심을 갖고 현업개발을 시작하는 단계가 되니 제일 먼저 찾게 되는게 디자인패턴인 것 같아요.
관련 영상들 올려주시면 꾸준히 돌려보며 공부하겠습니다..부디...ㅠㅠ",@closedfrom,5,2023-07-23T14:41:01Z
,,,,"마침 요즘 하루에 디자인 패턴 하나씩 공부하고 있는데, 하나의 패턴에 대해 여러 사이트에서 이론과 예시, 적용사례들을 찾고, 가져온 설명들을 퍼즐 맞추는 식으로 공부하다 보니 패턴 하나를 어느 정도 이해하기까지 시간이 오래 걸리더라고요. 니코쌤이 일목요연하게 설명해주신다면 이해하는 데 큰 도움이 될 것 같습니다~!",@orriguii,7,2023-07-23T13:34:46Z
,,,,"디자인패턴 더 공부해보고싶네요 완전 짱이에요... 마침 개인프로젝트에 딱 빌드 패턴을 사용하기 좋은 예시였던것같은데, 디자인 패턴을 몰라서 인스턴스화 한 엄청나게 긴 코드로 작성했었어요. 좀 더 빨리 알았다면 좋았을텐데 아쉬워요.
지금부터라도 공부하고싶네요",@hely4609,1,2024-04-26T03:07:35Z
,,,,Best Design patterns explanations so far. Please do a series about all of them,@galactusclb5733,2,2023-07-23T13:52:29Z
아직도 이 API 모르셨다고요? 개발자 인생 꿀템 소개!,25436,882,2023-07-16T11:30:24Z,"📌 웹 기초 10주 스터디
https://bit.ly/3PRc3Am

📌 플러터 10주 스터디
https://bit.ly/3QfmoGD",@nomadcoders,1,2023-07-16T14:46:01Z
,,,,무한스크롤이랑 빠질 수 없는 Virtualized 관련해서도 알려주세요 흑흑...ㅠ,@zoody9261,18,2023-07-16T12:04:33Z
,,,,당근마켓 강의 보다가 슉 빠르게 보고 다시 갑니다 이런게 있었군요,@Jeenie92,0,2024-05-23T05:43:54Z
,,,,약 2년던부터 즐겨보고 있습니다.그리고 이렇게 쉽게 설명해 주시는 채널은 거의 없는것 같습니다.궁금한게 있는데 Go 언어 프레임워크 beego가 궁금합니다!,@데라블라,2,2023-07-16T21:02:15Z
,,,,이거 정말 유용하게 실무에서 써먹었는데 여기에서도 소개되었군여...ㅋㅋㅋㅋㅋㅋㅋㅋ,@HelloMyStar_,0,2023-09-19T22:54:44Z
,,,,되게 좋네용... 유용한 정보 감사드립니다!,@공자-k5m,0,2023-08-05T03:48:51Z
,,,,이거 실제로 모르는분들 제법됩니다. 저번 프로젝트때 게시물 사이즈 계산해서 데이터 패치하니 머하니 난리치던때에 제가 이거로 간단히 뚝딱하는거 보여주니 다들 조선시대에 조총 처음 접한 사람들처럼 행동하더군요,@pcijhh,0,2025-03-18T23:45:23Z
,,,,좋아여 안누를 수가 없네,@Themwater,2,2023-07-16T13:11:15Z
,,,,최적화에 도움이 되서 자주 사용했던 기억이 있네요 ㅎㅎ,@yyk7392,4,2023-07-16T11:35:13Z
,,,,니꼬쌤 플러터강의 잘듣고있는 학생입니다. 혹시 프론트엔드를 플러터로 다 가능한 시대가 올까요 갑자기 궁금해지네요,@roqkfwk,0,2023-07-17T06:02:25Z
HTML 으로 PPT 슬라이드 만들 수 있다....!?,19254,629,2023-07-09T11:30:08Z,개인 포트폴리오 소개용으로 만들어도 유용하겠네요! 오늘도 감사합니다!,@7C7365,10,2023-07-09T14:15:44Z
,,,,"정보 공유 감사합니다. tech conference나 팀내에서 코드 리뷰 혹은 여러 테크관련 강의등에 쓰면 재미있을 것 같네요!  나중에는 코드뿐아니라, 랜더링된 HTML에서 직접 수정이 가능하게 된다면, 유저 접근성을 조금더 쉽게하면서, 직관적으로 바꿔 볼 수도 있을것 같네요",@Q-dayo,5,2023-07-09T11:50:49Z
,,,,너무 좋네요 PPT 꾸미는게 제일 힘들었는데 나중에 꼭 써먹어야겠어요,@바닐라-s2h,3,2023-07-09T12:14:45Z
,,,,와..좋은정보 감사합니다. 정말 유용하겠네요.,@EnsignerTV,2,2023-07-10T03:03:01Z
,,,,"드디어 RevealJS가 소개되었군요. 커스텀 CSS를 하면 꽤나 자유롭게 꾸밀 수 있고, 또 HTML이기 때문에 PHP와 MySQL을 통해 미리 입력한 데이터를 상황별로 꺼낼 수 있습니다.
이걸로 저는 교회 전광판 성가 시스템을 일일히 PPT를 만들어 넣어서 하는 것에서, 사전에 관리 사이트에 미리 한달 치 성가번호를 넣고 그날 그날 RevealJS로 출력하게 만들었습니다.",@KaeriusGaian,17,2023-07-09T11:49:02Z
,,,,이런거 너무 좋습니다ㅠㅠ 오늘도 잘 보겠습니다!,@lIIllIllIIIll,2,2023-07-09T11:47:55Z
,,,,"이전에 Marp 영상 보고 Reveal.js 기반의 PPT 작성 도구는 언제 나올까? 했는데 영상이 있었네요!
감사합니다👍👍",@김동현-n4l1y,2,2023-07-09T23:29:55Z
,,,,사랑하는거 알죠? 좋은 정보 항상 감사해요.,@gethyper4880,0,2023-07-15T22:54:38Z
,,,,"분명 만들기 쉬우라고 PPT를 만든건데...
코딩이 더 쉬운 것 같다...",@hackish113,4,2023-07-09T11:36:23Z
,,,,코딩으로 PPT를 만들다니 공부를 빨리 해야겠어요!,@ghdrb1246,1,2023-07-09T12:10:19Z
유저 천만명을 위한 최고의 서버 아키텍처는? 👀,20473,466,2023-07-05T11:30:00Z,"📌 AWS Builders 온라인 시리즈 참가 신청 링크 : https://go.aws/46toBDY
📌일정 : 7/13(목) 무료 온라인 컨퍼런스
- 오전 세션 : 09:00 ~ 12:00 (3시간)
- 오후 세션 : 14:00 ~ 17:00 (3시간)
가장 쉽고 빠른 AWS 클라우드 서비스 활용을 위한 기초 교육! AWS 전문가에게 배워 보세요

#AWSONLINE #AWSCLOUD #AWSBUILDERS온라인시리즈",@nomadcoders,5,2023-07-05T11:31:29Z
,,,,ㅋㅋㅋ 끝까지 안봤지만 이 영상에 나오는거 멋모르고 적용했다가는 청구서 보고 깜짝 놀라게 될거에요. 조심히 보셔요.,@kenny-han,17,2023-07-08T16:48:20Z
,,,,"Unbelievable. Finally a video on AWS that makes intuitive sense!! 

I absolutely love the way you explain why I should even bother learning AWS and cloud technologies. All tutorials I have stumbled upon go straight into definitions of each of the AWS services and I end up drowning in a pool of alphabet soups… 

Thanks for saving me from drowning ever again — always pleasantly surprised by your content!",@zi_t,3,2023-07-05T12:15:23Z
,,,,정말 좋은 영상 항상 감사합니다,@CRFOOTBALL1997,2,2023-07-05T14:52:29Z
,,,,"서비스 유형 및 동접자 마다 천차만별이긴 하겠지만 천만명이면 절대 앱러너 나 람다 따위 같은걸로는 커버 칠 수가 없습니다. 디비도 레플리케이션 샤딩 등등 말이야 쉽습니다만, 수용하는게 다가 아니라서.. 뭐 가능은 하겠죠. 돈다벌어서 AWS에 가져다 바쳐야 해서 문제지.",@bosedigit,11,2023-07-05T15:41:06Z
,,,,와 .. 어렵다 ㅜㅠ // 내가 얼마나 얇게 알고 있었는지 깨닫게 되네요,@hihirokman,1,2023-07-07T14:34:44Z
,,,,문제는 가격..,@hyunyu797,3,2023-07-06T10:40:37Z
,,,,AWS 대단한 서비스죠,@seungmin-lee,1,2023-07-05T14:00:52Z
,,,,천만명 유저를 감당해야할 인프라를 전부  aws로 관리하는것보단 데이터센터 리스해서 직접 서버운용하는게 더 싸게먹힐듯,@sksidienxjzjqwifk123,13,2023-07-06T03:51:19Z
